'time 1'	em1
3624.07	-35.8565
3624.07	-35.8532
3624.07	-35.8071
3624.07	-35.7051
3624.07	-35.7281
3624.07	-35.8894
3624.07	-36.1066
3624.08	-36.1395
3624.08	-36.1197
3624.08	-36.1954
3624.08	-36.0901
3624.08	-36.0375
3624.08	-36.0901
3624.08	-35.7874
3624.08	-35.7281
3624.08	-35.659
3624.08	-35.5241
3624.09	-35.4287
3624.09	-35.1622
3624.09	-35.3069
3624.09	-35.2214
3624.09	-35.2576
3624.09	-35.4188
3624.09	-35.7676
3624.09	-36.0375
3624.09	-36.2119
3624.09	-36.3501
3624.1	-36.1164
3624.1	-36.1033
3624.1	-35.998
3624.1	-35.8466
3624.1	-35.9124
3624.1	-35.7907
3624.1	-35.8499
3624.1	-35.8005
3624.1	-35.6261
3624.1	-35.6689
3624.11	-35.6919
3624.11	-35.6919
3624.11	-35.8038
3624.11	-35.8631
3624.11	-35.8433
3624.11	-35.8565
3624.11	-35.8993
3624.11	-35.9453
3624.11	-36.1
3624.11	-35.7972
3624.12	-35.6228
3624.12	-35.7018
3624.12	-35.7051
3624.12	-35.7314
3624.12	-35.738
3624.12	-35.7611
3624.12	-35.5406
3624.12	-35.3431
3624.12	-35.5801
3624.12	-35.7249
3624.13	-35.9058
3624.13	-35.9585
3624.13	-36.2152
3624.13	-36.3501
3624.13	-36.3303
3624.13	-36.4126
3624.13	-36.2152
3624.13	-36.0013
3624.13	-36.1099
3624.13	-36.0868
3624.14	-36.0375
3624.14	-35.9322
3624.14	-35.998
3624.14	-35.8598
3624.14	-35.84
3624.14	-35.8137
3624.14	-35.9749
3624.14	-36.0835
3624.14	-36.0769
3624.14	-36.1131
3624.15	-36.1855
3624.15	-36.2053
3624.15	-35.9058
3624.15	-35.7611
3624.15	-35.8433
3624.15	-35.9223
3624.15	-35.9585
3624.15	-36.0704
3624.15	-36.0473
3624.15	-36.0342
3624.16	-35.659
3624.16	-35.7907
3624.16	-35.9157
3624.16	-35.7742
3624.16	-35.6821
3624.16	-35.8762
3624.16	-36.0078
3624.16	-36.0473
3624.16	-36.2579
3624.16	-36.044
3624.17	-35.8532
3624.17	-35.6854
3624.17	-35.5768
3624.17	-35.5965
3624.17	-35.5636
3624.17	-35.5636
3624.17	-35.659
3624.17	-35.4221
3624.17	-35.5011
3624.17	-35.6854
3624.18	-35.6722
3624.18	-35.6426
3624.18	-35.7347
3624.18	-35.8993
3624.18	-36.0704
3624.18	-35.9289
3624.18	-35.8269
3624.18	-35.7018
3624.18	-35.6887
3624.18	-35.7545
3624.19	-35.6097
3624.19	-35.5866
3624.19	-35.6228
3624.19	-35.6426
3624.19	-35.9124
3624.19	-36.0638
3624.19	-36.0539
3624.19	-35.8894
3624.19	-35.9223
3624.19	-35.9355
3624.2	-35.9124
3624.2	-36.0309
3624.2	-35.7249
3624.2	-35.738
3624.2	-35.6623
3624.2	-35.4024
3624.2	-35.4846
3624.2	-35.5801
3624.2	-35.5472
