time1	em2
8461.718	-28.9725
8461.719	-29.4069
8461.720	-29.6142
8461.721	-29.5649
8461.722	-29.4859
8461.723	-29.3477
8461.724	-29.1239
8461.725	-28.9034
8461.726	-28.5777
8461.727	-28.6139
8461.728	-28.3309
8461.729	-28.2651
8461.730	-28.1696
8461.731	-28.1631
8461.732	-28.4296
8461.733	-28.3901
8461.734	-28.3835
8461.735	-28.446
8461.736	-28.91
8461.737	-28.9199
8461.738	-29.0614
8461.739	-28.785
8461.740	-28.6073
8461.741	-28.627
8461.742	-28.5152
8461.743	-28.525
8461.744	-28.3375
8461.745	-28.0413
8461.746	-27.9755
8461.747	-27.6629
8461.748	-27.7945
8461.749	-28.0117
8461.750	-28.1302
8461.751	-28.1466
8461.752	-28.5152
8461.753	-28.6073
8461.754	-28.5053
8461.755	-28.9331
8461.756	-28.8212
8461.757	-28.2749
8461.758	-28.094
8461.759	-27.8175
8461.760	-27.6201
8461.761	-27.528
8461.762	-27.6399
8461.763	-27.6004
8461.764	-27.4424
8461.765	-27.6004
8461.766	-27.7879
8461.767	-27.7353
8461.768	-27.9459
8461.769	-28.1499
8461.770	-28.4066
8461.771	-28.5843
8461.772	-28.6731
8461.773	-28.446
8461.774	-28.4033
8461.775	-28.2947
8461.776	-28.242
8461.777	-28.0446
8461.778	-27.7583
8461.779	-27.834
8461.780	-27.8044
8461.781	-27.5971
8461.782	-27.7978
8461.783	-28.0479
8461.784	-28.061
8461.785	-28.2058
8461.786	-28.2848
8461.787	-28.3572
8461.788	-28.4987
8461.789	-28.4
8461.790	-28.2157
8461.791	-28.094
8461.792	-28.2223
8461.793	-27.9952
8461.794	-27.9064
8461.795	-27.6431
8461.796	-27.4951
8461.797	-27.4589
8461.798	-27.4062
8461.799	-27.8801
8461.800	-27.9163
8461.801	-28.0512
8461.802	-28.3276
8461.803	-28.6764
8461.804	-28.6731
8461.805	-28.4954
8461.806	-28.3769
8461.807	-28.1499
8461.808	-28.1104
8461.809	-28.219
8461.810	-28.0841
8461.811	-27.9426
8461.812	-27.6991
8461.813	-27.5477
8461.814	-27.4062
8461.815	-27.6168
8461.816	-27.6728
8461.817	-27.6464
8461.818	-27.6497
8461.819	-27.8834
8461.820	-27.9755
