time3	em3
8607.348	-23.7866
8607.349	-23.9972
8607.350	-23.9741
8607.351	-23.8524
8607.352	-23.497
8607.353	-23.3423
8607.354	-23.3752
8607.355	-23.1778
8607.356	-23.1646
8607.357	-23.0528
8607.358	-22.5329
8607.359	-22.6579
8607.360	-22.5855
8607.361	-22.6118
8607.362	-22.6382
8607.363	-22.8915
8607.364	-22.8817
8607.365	-22.7764
8607.366	-22.8455
8607.367	-22.625
8607.368	-22.5197
8607.369	-22.5164
8607.370	-22.4605
8607.371	-22.3091
8607.372	-22.0557
8607.373	-21.6938
8607.374	-21.3976
8607.375	-21.3548
8607.376	-21.7234
8607.377	-21.9076
8607.378	-21.9142
8607.379	-21.8978
8607.380	-21.9208
8607.381	-21.9175
8607.382	-21.9833
8607.383	-21.9208
8607.384	-21.5983
8607.385	-21.3153
8607.386	-21.3482
8607.387	-21.2002
8607.388	-20.9665
8607.389	-20.9501
8607.390	-20.8579
8607.391	-20.7691
8607.392	-20.6276
8607.393	-20.8152
8607.394	-20.8744
8607.395	-21.0027
8607.396	-21.3482
8607.397	-21.4897
8607.398	-21.4338
8607.399	-21.4206
8607.400	-21.391
8607.401	-21.2067
8607.402	-20.9501
8607.403	-20.8053
8607.404	-20.8941
8607.405	-20.8448
8607.406	-20.723
8607.407	-20.5552
8607.408	-20.2722
8607.409	-20.3216
8607.410	-20.2097
8607.411	-20.1702
8607.412	-20.2327
8607.413	-20.3709
8607.414	-20.4565
8607.415	-20.2689
8607.416	-20.2887
8607.417	-20.2163
8607.418	-19.8741
8607.419	-19.8115
8607.420	-19.6338
8607.421	-19.5713
8607.422	-19.3179
8607.423	-19.3311
8607.424	-19.1435
8607.425	-18.8474
8607.426	-18.9593
8607.427	-18.7915
8607.428	-18.8079
8607.429	-19.081
8607.430	-19.0218
8607.431	-18.8803
8607.432	-18.9988
8607.433	-18.9691
8607.434	-18.6598
8607.435	-18.5776
8607.436	-18.571
8607.437	-18.2353
8607.438	-18.0412
8607.439	-17.7878
8607.440	-17.6101
8607.441	-17.4423
8607.442	-17.3206
8607.443	-17.439
8607.444	-17.4917
8607.445	-17.4653
8607.446	-17.5114
8607.447	-17.5871
8607.448	-17.133
8607.449	-16.8697
8607.450	-16.5736
8607.451	-16.2873
8607.452	-16.0997
8607.453	-15.8069
8607.454	-15.4877
8607.455	-15.0928
8607.456	-14.7506
8607.457	-14.5038
8607.458	-13.9938
8607.459	-13.9674
8607.460	-13.928
8607.461	-13.8523
8607.462	-13.7996
8607.463	-13.8391
8607.464	-13.6614
8607.465	-13.362
8607.466	-13.2271
8607.467	-12.8059
8607.468	-12.3748
8607.469	-11.901
8607.470	-11.6476
8607.471	-11.3152
8607.472	-10.8282
8607.473	-10.6604
8607.474	-10.361
8607.475	-9.87067
8607.476	-9.81473
8607.477	-9.5811
8607.478	-9.2652
8607.479	-8.84729
8607.480	-8.63012
8607.481	-8.4623
8607.482	-8.27473
8607.483	-7.96542
8607.484	-7.39944
8607.485	-7.07696
8607.486	-6.65906
8607.487	-6.54718
8607.488	-6.39252
8607.489	-6.07333
8607.490	-6.00094
8607.491	-5.65543
8607.492	-5.70479
8607.493	-5.79692
8607.494	-5.80021
8607.495	-5.64226
8607.496	-5.93184
8607.497	-6.14243
8607.498	-6.26418
8607.499	-6.40239
8607.500	-6.35303
8607.501	-6.37606
8607.502	-6.5044
8607.503	-6.49124
8607.504	-6.61299
8607.505	-6.74132
8607.506	-6.93875
8607.507	-6.86965
8607.508	-6.86307
8607.509	-7.20858
8607.510	-7.37969
8607.511	-7.59029
8607.512	-8.02794
8607.513	-8.43597
8607.514	-8.59392
8607.515	-8.57418
8607.516	-8.54785
8607.517	-8.55443
8607.518	-8.38332
8607.519	-8.34384
8607.520	-8.36029
8607.521	-8.53798
8607.522	-8.36687
8607.523	-8.45901
8607.524	-8.52153
8607.525	-8.40965
8607.526	-8.68935
8607.527	-8.94601
8607.528	-8.99866
8607.529	-9.12041
8607.530	-9.21913
8607.531	-9.46593
8607.532	-9.40999
8607.533	-9.37379
8607.534	-8.92627
8607.535	-8.54456
8607.536	-8.5314
8607.537	-8.51824
8607.538	-8.37345
